age,date_account_created,date_first_booking,gender,Language_EN,Language_ZH,Country_US,Country_EUR,android,moweb,web,ios,Married,Children
33,1/7/2010,1/8/2010,F,1,0,0,0,1,0,1,0,1,1
30,1/10/2010,1/11/2010,M,1,0,1,0,1,0,1,0,1,2
30,1/19/2010,1/21/2010,F,1,0,1,0,1,0,1,0,1,1
30,2/3/2010,2/4/2010,F,1,0,1,0,1,0,1,0,1,1
32,2/7/2010,2/7/2010,F,1,0,1,0,1,0,1,0,1,2
46,2/8/2010,2/11/2010,F,1,0,1,0,0,1,1,0,1,1
30,2/15/2010,2/15/2010,F,1,0,0,1,1,0,1,0,1,2
46,2/26/2010,3/12/2010,F,1,0,1,0,1,0,1,0,0,1
5,3/6/2010,3/8/2010,F,1,0,0,1,1,0,1,0,0,0
33,3/8/2010,3/22/2010,U,1,0,0,1,1,0,1,0,0,1
45,3/11/2010,3/11/2010,F,1,0,1,0,1,0,1,0,0,2
32,3/18/2010,3/20/2010,M,1,0,1,0,0,1,1,0,1,1
46,3/29/2010,3/29/2010,M,1,0,1,0,1,0,1,0,1,3
29,4/3/2010,4/3/2010,M,1,0,1,0,1,0,1,0,0,2
29,4/9/2010,4/13/2010,F,1,0,1,0,1,0,1,0,1,1
104,4/12/2010,4/12/2010,F,1,0,0,1,0,1,1,0,1,2
33,4/13/2010,4/23/2010,F,1,0,1,0,0,1,1,0,0,3
37,4/17/2010,4/18/2010,F,1,0,1,0,1,0,1,0,1,1
28,4/20/2010,4/20/2010,F,1,0,1,0,1,0,1,0,1,1
41,4/28/2010,5/5/2010,F,1,0,1,0,1,0,1,0,1,3
5,4/29/2010,4/29/2010,F,1,0,0,1,0,1,1,0,0,0
30,4/29/2010,7/19/2010,M,1,0,0,1,0,1,1,0,1,1
35,4/29/2010,5/2/2010,M,1,0,1,0,1,0,1,0,1,1
55,4/30/2010,10/5/2010,M,1,0,1,0,1,0,1,0,1,1
33,4/30/2010,5/8/2010,M,1,0,0,1,1,0,1,0,1,2
38,5/1/2010,5/1/2010,M,1,0,0,1,0,1,1,0,1,1
36,5/1/2010,5/4/2010,F,1,0,0,1,1,0,1,0,0,2
