web-scraper-order,web-scraper-start-url,name,comment,address
"1609499690-22","https://sh.meituan.com/meishi/c20059/pn14/","焱一期一会·烧肉","4.3分23条评论","静安区康定路983号人均￥184"
"1609499695-24","https://sh.meituan.com/meishi/c20059/pn12/","Uncle Shawn大叔烧肉餐酒馆","4.5分1条评论","闵行区虹梅路3219-3223号3F（15:30后接听）人均￥283"
"1609499716-31","https://sh.meituan.com/meishi/c20059/pn5/","峯铁板烧（老码头VIP店）","4.4分64条评论","黄浦区黄浦区外马路579号沃弗2号库302室人均￥245"
"1609499692-23","https://sh.meituan.com/meishi/c20059/pn13/","吉久田日本料理（锦秋新天地店）","4.2分11条评论","宝山区锦秋路锦秋新天地1层全家便利店北行20米人均￥83"
"1609499704-27","https://sh.meituan.com/meishi/c20059/pn9/","百川日本料理（淮海路店）","4.9分181条评论","黄浦区成都南路91号（近淮海路和长乐路）人均￥156"
"1609499701-26","https://sh.meituan.com/meishi/c20059/pn10/","和嵐一番·燒肉（金山百联店）","4.7分255条评论","金山区前京大道95号棕榈湾花园商铺人均￥117"
"1609499719-32","https://sh.meituan.com/meishi/c20059/pn4/","藤木日本料理","5分155条评论","黄浦区瑞金南路1号海兴广场2楼（近徐家汇路）人均￥98"
"1609499698-25","https://sh.meituan.com/meishi/c20059/pn11/","寿司沼津港（凯德晶萃店）","4.5分2条评论","黄浦区徐家汇路268号凯德晶萃广场2楼33室人均￥116"
"1609499722-33","https://sh.meituan.com/meishi/c20059/pn3/","小町樱居酒屋（西康路店）","5分55条评论","静安区西康路356号人均￥77"
"1609499707-28","https://sh.meituan.com/meishi/c20059/pn8/","多番漫怡精食·居酒屋（旭辉店）","5分306条评论","浦东新区张杨路2389弄7号1层人均￥238"
"1609499711-29","https://sh.meituan.com/meishi/c20059/pn7/","九州场居酒屋（长寿路店）","4.4分2条评论","普陀区长寿路468号底层人均￥80"
"1609499687-21","https://sh.meituan.com/meishi/c20059/pn15/","看板のない店·日式黑暗料理","4.1分","长宁区古北路555弄8号1楼（古北路紫云西路交叉口）人均￥191"
"1609499713-30","https://sh.meituan.com/meishi/c20059/pn6/","三川烧肉Mikawa（香港广场店）","4分","黄浦区淮海中路283号香港广场南座SL4-06人均￥551"
"1609499728-35","https://sh.meituan.com/meishi/c20059/pn1/","簪花·西京炭火烧肉Saikyo Yaki","5分114条评论","浦东新区东园路与陆家嘴环路交叉口富士康大厦四楼405人均￥261"
"1609499725-34","https://sh.meituan.com/meishi/c20059/pn2/","炎馥烧肉·居酒屋","4分2条评论","静安区康定路359号二楼人均￥200"
